"","x"
"118","https://stackoverflow.com/questions/1497539/fitting-a-density-curve-to-a-histogram-in-r"
"119","https://stackoverflow.com/questions/17735859/for-each-row-return-the-column-name-of-the-largest-value"
"120","https://stackoverflow.com/questions/7962267/cbind-a-df-with-an-empty-df-cbind-fill"
"121","https://stackoverflow.com/questions/15913417/why-does-data-table-update-namesdt-by-reference-even-if-i-assign-to-another-v"
"122","https://stackoverflow.com/questions/24558328/how-to-select-the-row-with-the-maximum-value-in-each-group"
"123","https://stackoverflow.com/questions/28729506/combine-multiple-columns-into-tidy-data"
"124","https://stackoverflow.com/questions/1923273/counting-the-number-of-elements-with-the-values-of-x-in-a-vector"
"125","https://stackoverflow.com/questions/6142944/how-can-i-plot-with-2-different-y-axes"
"126","https://stackoverflow.com/questions/9950144/access-lapply-index-names-inside-fun"
"127","https://stackoverflow.com/questions/1395229/increasing-or-decreasing-the-memory-available-to-r-processes"
"128","https://stackoverflow.com/questions/12391950/select-assign-to-data-table-variables-which-names-are-stored-in-a-character-ve"
"129","https://stackoverflow.com/questions/44200195/how-to-debug-contrasts-can-be-applied-only-to-factors-with-2-or-more-levels-er"
"130","https://stackoverflow.com/questions/18306362/run-r-script-from-command-line"
"131","https://stackoverflow.com/questions/13022299/specify-custom-date-format-for-colclasses-argument-in-read-table-read-csv"
"132","https://stackoverflow.com/questions/5251507/how-to-succinctly-write-a-formula-with-many-variables-from-a-data-frame"
"133","https://stackoverflow.com/questions/2375587/reorder-levels-of-a-factor-without-changing-order-of-values"
"134","https://stackoverflow.com/questions/5048638/automatically-expanding-an-r-factor-into-a-collection-of-1-0-indicator-variables"
"135","https://stackoverflow.com/questions/6668963/how-to-prevent-ifelse-from-turning-date-objects-into-numeric-objects"
"136","https://stackoverflow.com/questions/39137110/what-does-the-following-object-is-masked-from-packagexxx-mean"
"137","https://stackoverflow.com/questions/11612235/select-rows-from-a-data-frame-based-on-values-in-a-vector"
"138","https://stackoverflow.com/questions/6434663/looping-over-a-datetime-object-results-in-a-numeric-iterator"
"139","https://stackoverflow.com/questions/11806501/how-to-escape-backslashes-in-r-string"
"140","https://stackoverflow.com/questions/20204257/subset-data-frame-based-on-number-of-rows-per-group"
"141","https://stackoverflow.com/questions/13726894/strptime-as-posixct-and-as-date-return-unexpected-na"
"142","https://stackoverflow.com/questions/32543340/behavior-ggplot2-aes-in-combination-with-facet-grid-when-passing-variable-wi"
"143","https://stackoverflow.com/questions/7019912/using-the-rjava-package-on-win7-64-bit-with-r"
"144","https://stackoverflow.com/questions/3053833/using-r-to-download-zipped-data-file-extract-and-import-data"
"145","https://stackoverflow.com/questions/17082341/installing-older-version-of-r-package"
"146","https://stackoverflow.com/questions/2895319/how-to-add-texture-to-fill-colors-in-ggplot2"
"147","https://stackoverflow.com/questions/6836409/finding-local-maxima-and-minima"
"148","https://stackoverflow.com/questions/32988099/data-table-objects-not-printed-after-returned-from-function"
"149","https://stackoverflow.com/questions/3541713/how-to-plot-two-histograms-together-in-r"
"150","https://stackoverflow.com/questions/6919025/how-to-assign-colors-to-categorical-variables-in-ggplot2-that-have-stable-mappin"
"151","https://stackoverflow.com/questions/7597559/grep-using-a-character-vector-with-multiple-patterns"
"152","https://stackoverflow.com/questions/3311940/r-rjava-package-install-failing"
"153","https://stackoverflow.com/questions/14124373/combine-base-and-ggplot-graphics-in-r-figure-window"
"154","https://stackoverflow.com/questions/26003574/r-dplyr-mutate-use-dynamic-variable-names"
"155","https://stackoverflow.com/questions/5758084/loop-in-r-loading-files"
"156","https://stackoverflow.com/questions/24237399/how-to-select-the-rows-with-maximum-values-in-each-group-with-dplyr"
"157","https://stackoverflow.com/questions/16657512/apply-function-conditionally"
"158","https://stackoverflow.com/questions/7194688/using-ggplot2-can-i-insert-a-break-in-the-axis"
"159","https://stackoverflow.com/questions/33507868/is-there-a-dplyr-equivalent-to-data-tablerleid"
"160","https://stackoverflow.com/questions/25297812/pair-wise-duplicate-removal-from-dataframe"
"161","https://stackoverflow.com/questions/21435339/data-table-vs-dplyr-can-one-do-something-well-the-other-cant-or-does-poorly"
"162","https://stackoverflow.com/questions/1429907/workflow-for-statistical-analysis-and-report-writing"
"163","https://stackoverflow.com/questions/15170399/changing-r-default-library-path-using-libpaths-in-rprofile-site-fails-to-work"
"164","https://stackoverflow.com/questions/7235657/fastest-way-to-replace-nas-in-a-large-data-table"
"165","https://stackoverflow.com/questions/10790204/how-to-delete-a-row-by-reference-in-data-table"
"166","https://stackoverflow.com/questions/17198658/how-to-parse-xml-to-r-data-frame"
"167","https://stackoverflow.com/questions/2287616/controlling-number-of-decimal-digits-in-print-output-in-r"
"168","https://stackoverflow.com/questions/7142767/why-are-loops-slow-in-r"
"169","https://stackoverflow.com/questions/16846380/how-to-apply-same-function-to-every-specified-column-in-a-data-table"
"170","https://stackoverflow.com/questions/25314336/extract-the-maximum-value-within-each-group-in-a-dataframe"
"171","https://stackoverflow.com/questions/14543627/extracting-numbers-from-vectors-of-strings"
"172","https://stackoverflow.com/questions/19891278/table-of-interactions-case-with-pets-and-houses"
"173","https://stackoverflow.com/questions/5465314/tools-for-making-latex-tables-in-r"
"174","https://stackoverflow.com/questions/10689055/create-an-empty-data-frame"
"175","https://stackoverflow.com/questions/3606697/how-to-set-limits-for-axes-in-ggplot2-r-plots"
"176","https://stackoverflow.com/questions/1826519/how-to-assign-from-a-function-which-returns-more-than-one-value"
"177","https://stackoverflow.com/questions/10904124/global-and-local-variables-in-r"
"178","https://stackoverflow.com/questions/20039335/what-is-the-purpose-of-setting-a-key-in-data-table"
"179","https://stackoverflow.com/questions/4935479/how-to-combine-multiple-conditions-to-subset-a-data-frame-using-or"
"180","https://stackoverflow.com/questions/12774210/how-do-you-specifically-order-ggplot2-x-axis-instead-of-alphabetical-order"
"181","https://stackoverflow.com/questions/19410108/cleaning-up-factor-levels-collapsing-multiple-levels-labels"
"182","https://stackoverflow.com/questions/9713294/split-data-frame-based-on-levels-of-a-factor-into-new-data-frames"
"183","https://stackoverflow.com/questions/24070714/extract-row-corresponding-to-minimum-value-of-a-variable-by-group"
"184","https://stackoverflow.com/questions/10748253/idiomatic-r-code-for-partitioning-a-vector-by-an-index-and-performing-an-operati"
"185","https://stackoverflow.com/questions/7352254/how-to-subset-matrix-to-one-column-maintain-matrix-data-type-maintain-row-colu"
"186","https://stackoverflow.com/questions/14615305/a-similar-function-to-rs-rep-in-matlab"
"187","https://stackoverflow.com/questions/13763216/how-can-i-remove-all-duplicates-so-that-none-are-left-in-a-data-frame-in-r"
"188","https://stackoverflow.com/questions/2151212/how-can-i-read-command-line-parameters-from-an-r-script"
"189","https://stackoverflow.com/questions/8273313/sample-random-rows-in-dataframe"
"190","https://stackoverflow.com/questions/7201341/how-can-2-strings-be-concatenated"
"191","https://stackoverflow.com/questions/2061897/parse-json-with-r"
"192","https://stackoverflow.com/questions/2315601/understanding-the-order-function"
"193","https://stackoverflow.com/questions/12495345/find-indices-of-duplicated-rows"
"194","https://stackoverflow.com/questions/13701347/force-the-origin-to-start-at-0-in-ggplot2-r"
"195","https://stackoverflow.com/questions/7726034/how-r-formats-posixct-with-fractional-seconds"
"196","https://stackoverflow.com/questions/10527072/using-data-table-package-inside-my-own-package"
"197","https://stackoverflow.com/questions/14614306/why-is-the-parallel-package-slower-than-just-using-apply"
"198","https://stackoverflow.com/questions/10659133/local-variables-within-aes"
"199","https://stackoverflow.com/questions/17559390/why-is-using-assign-bad"
"200","https://stackoverflow.com/questions/22756372/collapse-text-by-group-in-data-frame"
"201","https://stackoverflow.com/questions/1169248/r-function-for-testing-if-a-vector-contains-a-given-element"
"202","https://stackoverflow.com/questions/21208801/group-by-multiple-columns-in-dplyr-using-string-vector-input"
"203","https://stackoverflow.com/questions/8637993/better-explanation-of-when-to-use-imports-depends"
"204","https://stackoverflow.com/questions/7611169/intelligent-point-label-placement-in-r"
"205","https://stackoverflow.com/questions/9397664/force-r-not-to-use-exponential-notation-e-g-e10"
"206","https://stackoverflow.com/questions/5293715/how-to-use-greek-symbols-in-ggplot2"
"207","https://stackoverflow.com/questions/6034655/convert-string-to-a-variable-name"
"208","https://stackoverflow.com/questions/4948361/how-do-i-save-warnings-and-errors-as-output-from-a-function"
"209","https://stackoverflow.com/questions/6244217/subsetting-a-dataframe-in-r-by-multiple-conditions"
"210","https://stackoverflow.com/questions/15253954/replace-multiple-letters-with-accents-with-gsub"
"211","https://stackoverflow.com/questions/15347282/split-delimited-strings-in-a-column-and-insert-as-new-rows"
"212","https://stackoverflow.com/questions/18012222/nested-ifelse-statement-in-r"
"213","https://stackoverflow.com/questions/1617061/including-missing-values-in-table-results-in-r"
"214","https://stackoverflow.com/questions/2769510/numeric-comparison-difficulty-in-r"
"215","https://stackoverflow.com/questions/14855246/multiple-use-of-the-positional-operator-to-update-nested-arrays"
"216","https://stackoverflow.com/questions/1401904/painless-way-to-install-a-new-version-of-r"
"217","https://stackoverflow.com/questions/7144118/how-to-save-a-plot-as-image-on-the-disk"
"218","https://stackoverflow.com/questions/21644848/summarizing-multiple-columns-with-dplyr"
"219","https://stackoverflow.com/questions/10449366/levels-what-sorcery-is-this"
"220","https://stackoverflow.com/questions/5587676/pull-out-p-values-and-r-squared-from-a-linear-regression"
"221","https://stackoverflow.com/questions/9749598/extract-month-and-year-from-a-zooyearmon-object"
"222","https://stackoverflow.com/questions/13575180/how-to-change-language-settings-in-r"
"223","https://stackoverflow.com/questions/10520772/in-r-how-to-get-an-objects-name-after-it-is-sent-to-a-function"
"224","https://stackoverflow.com/questions/9083907/how-to-call-an-object-with-the-character-variable-of-the-same-name"
"225","https://stackoverflow.com/questions/31668163/geographic-distance-between-2-lists-of-lat-lon-coordinates"
"226","https://stackoverflow.com/questions/32888757/reading-multiple-files-into-r-best-practice"
"227","https://stackoverflow.com/questions/2547306/generate-multiple-graphics-from-within-an-r-function"
"228","https://stackoverflow.com/questions/16443260/interleave-lists-in-r"
"229","https://stackoverflow.com/questions/22756372/collapse-text-by-group-in-data-frame"
"230","https://stackoverflow.com/questions/2628621/how-do-you-use-scoping-assignment-in-r"
"231","https://stackoverflow.com/questions/17200114/how-to-split-data-into-training-testing-sets-using-sample-function"
"232","https://stackoverflow.com/questions/9216138/find-the-day-of-a-week"
"233","https://stackoverflow.com/questions/14383710/read-fixed-width-text-file"
"234","https://stackoverflow.com/questions/3695677/how-to-find-common-elements-from-multiple-vectors"
"235","https://stackoverflow.com/questions/2209258/merge-several-data-frames-into-one-data-frame-with-a-loop"
"236","https://stackoverflow.com/questions/6289538/aggregate-a-dataframe-on-a-given-column-and-display-another-column"
"237","https://stackoverflow.com/questions/5990654/incomplete-final-line-warning-when-trying-to-read-a-csv-file-into-r"
"238","https://stackoverflow.com/questions/5106782/use-of-ggplot-within-another-function-in-r"
"239","https://stackoverflow.com/questions/26724124/standard-evaluation-in-dplyr-summarise-on-variable-given-as-a-character-string"
"240","https://stackoverflow.com/questions/1181060/reshaping-time-series-data-from-wide-to-tall-format-for-plotting"
"241","https://stackoverflow.com/questions/5746544/r-cut-by-defined-interval"
"242","https://stackoverflow.com/questions/14812246/calculating-statistics-on-subsets-of-data"
"243","https://stackoverflow.com/questions/2288485/how-to-convert-a-data-frame-column-to-numeric-type"
"244","https://stackoverflow.com/questions/8545035/scatterplot-with-marginal-histograms-in-ggplot2"
"245","https://stackoverflow.com/questions/5234117/how-to-drop-columns-by-name-in-a-data-frame"
"246","https://stackoverflow.com/questions/3094866/trimming-a-huge-3-5-gb-csv-file-to-read-into-r"
"247","https://stackoverflow.com/questions/3171426/compare-two-data-frames-to-find-the-rows-in-data-frame-1-that-are-not-present-in"
"248","https://stackoverflow.com/questions/11936339/in-r-replace-text-within-a-string"
"249","https://stackoverflow.com/questions/9789871/method-to-extract-stat-smooth-line-fit"
"250","https://stackoverflow.com/questions/4951442/formula-with-dynamic-number-of-variables"
"251","https://stackoverflow.com/questions/9547518/create-a-data-frame-where-a-column-is-a-list"
"252","https://stackoverflow.com/questions/10014187/displaying-text-below-the-plot-generated-by-ggplot2"
"253","https://stackoverflow.com/questions/6947587/matching-a-string-with-different-possibilities-using-grep"
"254","https://stackoverflow.com/questions/18165863/multirow-axis-labels-with-nested-grouping-variables"
"255","https://stackoverflow.com/questions/27662162/error-in-my-code-target-of-assignment-expands-to-non-language-object"
"256","https://stackoverflow.com/questions/8212699/group-by-multiple-columns-and-sum-other-multiple-columns"
"257","https://stackoverflow.com/questions/7976001/adding-a-column-of-means-by-group-to-original-data"
"258","https://stackoverflow.com/questions/13649473/add-a-common-legend-for-combined-ggplots"
"259","https://stackoverflow.com/questions/6467277/proxy-setting-for-r"
"260","https://stackoverflow.com/questions/3412911/r-exe-rcmd-exe-rscript-exe-and-rterm-exe-whats-the-difference"
"261","https://stackoverflow.com/questions/27004002/eachi-in-data-table"
"262","https://stackoverflow.com/questions/2209258/merge-several-data-frames-into-one-data-frame-with-a-loop"
"263","https://stackoverflow.com/questions/15790743/data-table-meta-programming"
"264","https://stackoverflow.com/questions/6289538/aggregate-a-dataframe-on-a-given-column-and-display-another-column"
"265","https://stackoverflow.com/questions/3744178/ggplot2-sorting-a-plot"
"266","https://stackoverflow.com/questions/6017460/position-geom-text-on-dodged-barplot"
"267","https://stackoverflow.com/questions/10807804/offline-install-of-r-package-and-dependencies"
"268","https://stackoverflow.com/questions/14454476/get-the-difference-between-dates-in-terms-of-weeks-months-quarters-and-years"
"269","https://stackoverflow.com/questions/20571306/multi-row-x-axis-labels-in-ggplot-line-chart"
"270","https://stackoverflow.com/questions/29775461/how-can-i-spread-repeated-measures-of-multiple-variables-into-wide-format"
"271","https://stackoverflow.com/questions/1502910/how-can-i-count-runs-in-a-sequence"
"272","https://stackoverflow.com/questions/24119599/how-to-assign-a-unique-id-number-to-each-group-of-identical-values-in-a-column"
"273","https://stackoverflow.com/questions/8613237/extract-info-inside-all-parenthesis-in-r"
"274","https://stackoverflow.com/questions/12840294/counting-unique-distinct-values-by-group-in-a-data-frame"
"275","https://stackoverflow.com/questions/8333838/generate-a-sequence-of-the-last-day-of-the-month-over-two-years"
"276","https://stackoverflow.com/questions/16951080/can-lists-be-created-that-name-themselves-based-on-input-object-names"
"277","https://stackoverflow.com/questions/18989001/how-can-i-put-a-transformed-scale-on-the-right-side-of-a-ggplot2"
"278","https://stackoverflow.com/questions/6290605/load-r-package-from-character-string"
"279","https://stackoverflow.com/questions/21807987/calculate-the-mean-for-each-column-of-a-matrix-in-r"
"280","https://stackoverflow.com/questions/39262534/fitting-a-linear-model-with-multiple-lhs"
"281","https://stackoverflow.com/questions/18895020/frequency-counts-in-r"
"282","https://stackoverflow.com/questions/1249548/side-by-side-plots-with-ggplot2"
"283","https://stackoverflow.com/questions/6262203/measuring-function-execution-time-in-r"
"284","https://stackoverflow.com/questions/2453326/fastest-way-to-find-second-third-highest-lowest-value-in-vector-or-column"
"285","https://stackoverflow.com/questions/6902087/proper-fastest-way-to-reshape-a-data-table"
"286","https://stackoverflow.com/questions/24576515/relative-frequencies-proportions-with-dplyr"
"287","https://stackoverflow.com/questions/2885660/how-to-send-email-with-attachment-from-r-in-windows"
"288","https://stackoverflow.com/questions/14604439/plot-multiple-boxplot-in-one-graph"
"289","https://stackoverflow.com/questions/11889625/annotating-text-on-individual-facet-in-ggplot2"
"290","https://stackoverflow.com/questions/15759117/what-exactly-is-copy-on-modify-semantics-in-r-and-where-is-the-canonical-source"
"291","https://stackoverflow.com/questions/5319839/read-multiple-csv-files-into-separate-data-frames"
"292","https://stackoverflow.com/questions/6313079/quit-and-restart-a-clean-r-session-from-within-r"
"293","https://stackoverflow.com/questions/1395410/how-to-print-r-graphics-to-multiple-pages-of-a-pdf-and-multiple-pdfs"
"294","https://stackoverflow.com/questions/18046051/setting-individual-axis-limits-with-facet-wrap-and-scales-free-in-ggplot2"
"295","https://stackoverflow.com/questions/26917689/how-to-use-facets-with-a-dual-y-axis-ggplot"
"296","https://stackoverflow.com/questions/18201074/find-how-many-times-duplicated-rows-repeat-in-r-data-frame"
"297","https://stackoverflow.com/questions/21308436/dplyr-filter-get-rows-with-minimum-of-variable-but-only-the-first-if-multiple"
"298","https://stackoverflow.com/questions/12410908/combine-legends-for-color-and-shape-into-a-single-legend"
"299","https://stackoverflow.com/questions/16947643/getting-imported-json-data-into-a-data-frame-in-r"
"300","https://stackoverflow.com/questions/14570293/special-variables-in-ggplot-count-density-etc"
"301","https://stackoverflow.com/questions/10921791/melt-reshape-in-excel-using-vba"
"302","https://stackoverflow.com/questions/11020437/consistent-width-for-geom-bar-in-the-event-of-missing-data"
"303","https://stackoverflow.com/questions/6862742/draw-a-circle-with-ggplot2"
"304","https://stackoverflow.com/questions/15201305/how-to-convert-a-list-consisting-of-vector-of-different-lengths-to-a-usable-data"
"305","https://stackoverflow.com/questions/6112803/how-to-create-a-consecutive-index-based-on-a-grouping-variable-in-a-dataframe"
"306","https://stackoverflow.com/questions/27464893/getting-warning-newdata-had-1-row-but-variables-found-have-32-rows-on-pred"
"307","https://stackoverflow.com/questions/3991905/sum-rows-in-data-frame-or-matrix"
"308","https://stackoverflow.com/questions/3079415/define-right-parameter-with-a-variable-in-r"
"309","https://stackoverflow.com/questions/33051386/dcast-restructuring-from-long-to-wide-format-not-working"
"310","https://stackoverflow.com/questions/12135971/identify-groups-of-linked-episodes-which-chain-together"
"311","https://stackoverflow.com/questions/12773822/why-does-xy-join-of-data-tables-not-allow-a-full-outer-join-or-a-left-join"
